,id_orig,id_dest,distance_m,location,address,dest_lat,dest_lon,orig_lat,orig_lon,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
763967,131350503081001,131350502322-bg_centroid,12311.850610727006,Gwinett_GA,,34.0181702,-84.0809281,34.0008528,-84.2128553,,145,6,139,135,113,6,0,16,0,0,1785218.3385554159,81.02591323032317,1,1.0
764558,131350503081002,131350502322-bg_centroid,11846.760985095383,Gwinett_GA,,34.0181702,-84.0809281,33.9972316,-84.2069441,,22,0,22,22,22,0,0,0,0,0,260628.74167209843,68.63161168134201,1,1.0
765149,131350503081003,131350502322-bg_centroid,12069.520881813816,Gwinett_GA,,34.0181702,-84.0809281,33.9985132,-84.2097032,,80,6,74,74,67,0,0,5,0,2,965561.6705451054,74.31169646167342,1,1.0
765868,131350503081004,131350504463-bg_centroid,13099.077428565968,Gwinett_GA,,33.8834586,-84.193294,33.9988829,-84.2216833,,539,22,517,507,429,29,0,44,0,5,7060402.733997057,107.31549869032047,1,1.0
766459,131350503081005,131350504463-bg_centroid,12463.391010451052,Gwinett_GA,,33.8834586,-84.193294,33.9933741,-84.2197516,,50,0,50,45,40,0,0,5,0,0,623169.5505225526,85.52955849507933,1,1.0
767050,131350503081006,131350504463-bg_centroid,12351.761542147173,Gwinett_GA,,33.8834586,-84.193294,33.9933306,-84.2130018,,262,6,256,242,196,20,0,25,0,1,3236161.5240425593,82.18850100070784,1,1.0
767641,131350503081009,131350504463-bg_centroid,12122.790239432292,Gwinett_GA,,33.8834586,-84.193294,33.9917245,-84.2087509,,12,1,11,8,8,0,0,0,0,0,145473.48287318752,75.73823297290384,1,1.0
768104,131350503081010,131350502322-bg_centroid,12162.882760732518,Gwinett_GA,,34.0181702,-84.0809281,33.9948157,-84.2098356,,47,3,44,42,33,6,0,3,0,0,571655.4897544284,76.82993118304495,1,1.0
768823,131350503081013,131350504463-bg_centroid,11970.141223541734,Gwinett_GA,,33.8834586,-84.193294,33.990124,-84.2108022,,41,0,41,40,22,4,0,14,0,0,490775.7901652111,71.72177209684645,1,1.0
769414,131350503081014,131350504463-bg_centroid,12009.07067684712,Gwinett_GA,,33.8834586,-84.193294,33.9900029,-84.214595,,214,12,202,212,141,17,0,46,0,8,2569941.1248452836,72.72537755444321,1,1.0
770005,131350503081015,131350504463-bg_centroid,11805.050146302392,Gwinett_GA,,33.8834586,-84.193294,33.9879491,-84.2159329,,24,1,23,19,10,0,0,6,0,3,283321.2035112574,67.61733422391247,1,1.0
770596,131350503081016,131350504463-bg_centroid,12148.497649036406,Gwinett_GA,,33.8834586,-84.193294,33.9907981,-84.217838,,64,2,62,59,56,0,1,2,0,0,777503.84953833,76.43643378680017,1,1.0
771187,131350503081018,131350504463-bg_centroid,11593.278300724363,Gwinett_GA,,33.8834586,-84.193294,33.9864271,-84.2130176,,44,0,44,43,14,6,2,21,0,0,510104.24523187196,62.69435962448617,1,1.0
771778,131350503082000,131350504463-bg_centroid,12007.971393348473,Gwinett_GA,,33.8834586,-84.193294,33.9885905,-84.2230423,,312,6,306,298,262,7,3,24,0,2,3746487.0747247236,72.69684614632445,1,1.0
772369,131350503082001,131350504463-bg_centroid,12236.350203031929,Gwinett_GA,,33.8834586,-84.193294,33.990889,-84.2220301,,24,3,21,23,17,2,2,2,0,0,293672.4048727663,78.87141109091749,1,1.0
772960,131350503082002,131350504463-bg_centroid,12135.331442445991,Gwinett_GA,,33.8834586,-84.193294,33.9901987,-84.2207031,,47,2,45,47,36,4,0,7,0,0,570360.5777949616,76.07804561809307,1,1.0
773551,131350503082003,131350504463-bg_centroid,11342.778899734283,Gwinett_GA,,33.8834586,-84.193294,33.9832413,-84.2188341,,467,27,440,442,369,4,0,64,0,5,5297077.74617591,57.331753165716684,1,1.0
774142,131350503082004,131350504463-bg_centroid,11376.569553942896,Gwinett_GA,,33.8834586,-84.193294,33.9831835,-84.2208484,,45,2,43,42,36,3,0,0,0,3,511945.6299274303,58.02746011577203,1,1.0
