,id_orig,id_dest,distance_m,location,address,dest_lat,dest_lon,orig_lat,orig_lon,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
1831255,131350505662010,131350501151-bg_centroid,11006.811788722523,Gwinett_GA,,34.0991703,-83.992868,34.0034757,-84.0234224,,364,22,342,350,159,50,0,129,0,12,4006479.4910949985,50.85252079311982,1,1.0
1831846,131350505662011,131350501151-bg_centroid,11146.86404129192,Gwinett_GA,,34.0991703,-83.992868,34.0023296,-84.0241355,,92,16,76,82,59,2,1,15,0,5,1025511.4917988565,53.45937178821424,1,1.0
1832437,131350505662014,131350501151-bg_centroid,11066.955547034164,Gwinett_GA,,34.0991703,-83.992868,34.0021421,-84.0196182,,410,70,340,358,294,32,0,8,0,24,4537451.774284007,51.95605537939523,1,1.0
1833028,131350505662015,131350501151-bg_centroid,10708.02968443676,Gwinett_GA,,34.0991703,-83.992868,34.0048519,-84.0163225,,23,5,18,19,11,2,0,0,0,6,246284.6827420455,45.708218295561224,1,1.0
1833619,131350505662016,131350501151-bg_centroid,10663.294313227574,Gwinett_GA,,34.0991703,-83.992868,34.0049898,-84.0146703,,95,21,74,87,35,17,3,18,0,14,1013012.9597566195,44.98412394880885,1,1.0
1834210,131350505662017,131350501151-bg_centroid,10482.034147776129,Gwinett_GA,,34.0991703,-83.992868,34.0065614,-84.0141145,,45,10,35,37,21,5,1,4,0,6,471691.5366499258,42.16573886827854,1,1.0
1834801,131350505662018,131350501151-bg_centroid,10520.964343730717,Gwinett_GA,,34.0991703,-83.992868,34.0082105,-84.0243127,,46,4,42,43,20,9,0,14,0,0,483964.359811613,42.75577697419916,1,1.0
1835917,131350505671000,131350507572-bg_centroid,3619.484476058635,Gwinett_GA,,33.9051922,-84.0311003,33.9187225,-84.066774,,578,145,433,511,156,104,6,175,4,66,2092062.027161891,3.640026065659241,1,1.0
1836508,131350505671001,131350507572-bg_centroid,3680.519533169605,Gwinett_GA,,33.9051922,-84.0311003,33.9206581,-84.0663632,,83,7,76,72,41,12,0,18,0,1,305483.12125307723,3.720200533100458,1,1.0
1837099,131350505671002,131350507572-bg_centroid,3840.503667756602,Gwinett_GA,,33.9051922,-84.0311003,33.9248762,-84.065299,,14,2,12,7,7,0,0,0,0,0,53767.05134859243,3.938833491759482,1,1.0
1837690,131350505671004,131350507572-bg_centroid,2559.4799570357163,Gwinett_GA,,33.9051922,-84.0311003,33.9144082,-84.0565154,,542,151,391,490,142,152,3,102,0,91,1387238.1367133583,2.4933260570986877,1,1.0
1838281,131350505672000,131350507572-bg_centroid,3056.581114523826,Gwinett_GA,,33.9051922,-84.0311003,33.9248933,-84.0542002,,395,99,296,360,45,168,2,86,0,59,1207349.5402369113,2.9774285379019774,1,1.0
1838872,131350505672001,131350507572-bg_centroid,3212.3411767707244,Gwinett_GA,,33.9051922,-84.0311003,33.9246714,-84.0568083,,143,43,100,126,10,67,6,24,0,19,459364.7882782136,3.1476598057818137,1,1.0
1839463,131350505672002,131350507572-bg_centroid,3104.716614011711,Gwinett_GA,,33.9051922,-84.0311003,33.9216079,-84.0583162,,1257,386,871,1095,244,517,11,151,0,172,3902628.783812721,3.029029280447702,1,1.0
1840054,131350505672003,131350507572-bg_centroid,2678.573437462448,Gwinett_GA,,33.9051922,-84.0311003,33.9195922,-84.0543697,,76,44,32,63,3,7,2,16,2,33,203571.58124714607,2.601604902235235,1,1.0
1840645,131350505672004,131350507572-bg_centroid,3265.645486466673,Gwinett_GA,,33.9051922,-84.0311003,33.9238062,-84.0584737,,91,25,66,76,20,34,0,7,2,13,297173.73926846724,3.20812439207265,1,1.0
1841236,131350505672005,131350507572-bg_centroid,3051.3802203302184,Gwinett_GA,,33.9051922,-84.0311003,33.9192726,-84.0594822,,76,27,49,51,8,23,0,10,0,10,231904.8967450966,2.9719061232216837,1,1.0
1841827,131350505672006,131350507572-bg_centroid,2994.9399847488794,Gwinett_GA,,33.9051922,-84.0311003,33.9213341,-84.0570813,,51,6,45,43,8,25,0,5,0,5,152741.93922219286,2.9126314470291814,1,1.0
1842418,131350505672007,131350507572-bg_centroid,2699.801161639945,Gwinett_GA,,33.9051922,-84.0311003,33.9211841,-84.0531147,,45,12,33,35,5,12,3,13,2,0,121491.05227379753,2.6213929946752077,1,1.0
1843009,131350505672008,131350507572-bg_centroid,3191.646308835549,Gwinett_GA,,33.9051922,-84.0311003,33.9205917,-84.0602879,,68,31,37,48,12,11,0,22,0,3,217031.94900081735,3.124493325344195,1,1.0
1843600,131350505672009,131350507572-bg_centroid,3119.5654201617103,Gwinett_GA,,33.9051922,-84.0311003,33.9199433,-84.0598557,,75,42,33,42,16,12,3,0,1,10,233967.40651212828,3.045126808487327,1,1.0
