,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races
2982579,131350506111006,Georgia Gwinnett College,7063.770749474105,Gwinnett_GA,1000 University Center Ln,33.98136,-84.00013,34.0430668,-83.9819213,College Campus-Potential,potential,114,51,63,94,71,0,0,0,0,23
2982606,131350506111006,Dacula Park Activity Building,9731.105988957708,Gwinnett_GA,2735 Old Auburn Avenue,33.9961,-83.89283,34.0430668,-83.9819213,EV_2022_2020,polling,114,51,63,94,71,0,0,0,0,23
2982607,131350506111006,George Pierce Park Community Recreation Center,7159.677570557731,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0430668,-83.9819213,EV_2022_2020,polling,114,51,63,94,71,0,0,0,0,23
2982611,131350506111006,Mountain Park Activity Building,26069.307317395,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,34.0430668,-83.9819213,EV_2022_2020,polling,114,51,63,94,71,0,0,0,0,23
2982627,131350506111006,Gwinnett County Public Library - Suwanee Branch,8546.490024387456,Gwinnett_GA,"361 Main St, Suwanee, GA 30024",34.066465899877706,-84.07028790258764,34.0430668,-83.9819213,Library - Potential,potential,114,51,63,94,71,0,0,0,0,23
2983196,131350506111007,Georgia Gwinnett College,6875.3753103589615,Gwinnett_GA,1000 University Center Ln,33.98136,-84.00013,34.0421063,-83.9862152,College Campus-Potential,potential,68,23,45,55,37,7,0,3,0,8
2983223,131350506111007,Dacula Park Activity Building,10012.321258177455,Gwinnett_GA,2735 Old Auburn Avenue,33.9961,-83.89283,34.0421063,-83.9862152,EV_2022_2020,polling,68,23,45,55,37,7,0,3,0,8
2983224,131350506111007,George Pierce Park Community Recreation Center,6806.683056448056,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0421063,-83.9862152,EV_2022_2020,polling,68,23,45,55,37,7,0,3,0,8
2983228,131350506111007,Mountain Park Activity Building,25768.50770313792,Gwinnett_GA,1063 Rockbridge Road,33.84508,-84.13328,34.0421063,-83.9862152,EV_2022_2020,polling,68,23,45,55,37,7,0,3,0,8
2983244,131350506111007,Gwinnett County Public Library - Suwanee Branch,8205.253997822692,Gwinnett_GA,"361 Main St, Suwanee, GA 30024",34.066465899877706,-84.07028790258764,34.0421063,-83.9862152,Library - Potential,potential,68,23,45,55,37,7,0,3,0,8
