id_orig,demographic,weighted_dist,demo_pop,avg_dist
131350501051025,hispanic,3062.0545608791963,1,3062.0545608791963
131350501051025,native,6124.109121758393,2,3062.0545608791963
131350501051025,population,9186.163682637589,3,3062.0545608791963
131350501051025,white,6124.109121758393,2,3062.0545608791963
131350501051026,asian,0.0,0,
131350501051026,black,29559.119435818142,10,2955.9119435818143
131350501051026,hispanic,5911.823887163629,2,2955.9119435818143
131350501051026,native,8867.735830745443,3,2955.9119435818143
131350501051026,population,50250.50304089084,17,2955.9119435818143
131350501051026,white,50250.50304089084,17,2955.9119435818143
131350501051027,asian,0.0,0,
131350501051027,black,27842.910574692018,9,3093.6567305213352
131350501051027,hispanic,0.0,0,
131350501051027,native,3093.6567305213352,1,3093.6567305213352
131350501051027,population,30936.567305213353,10,3093.6567305213352
131350501051027,white,30936.567305213353,10,3093.6567305213352
