,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
10164,131350502433008,George Pierce Park Community Recreation Center,1961.547344075284,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0652286,-84.0771738,EV_2022_2020,polling,83,9,74,71,34,14,0,23,0,0,162808.42955824858,2.0141210947877064,0,1.0
10173,131350502433009,George Pierce Park Community Recreation Center,2322.345977458165,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0629257,-84.0819569,EV_2022_2020,polling,56,2,54,49,22,16,0,11,0,0,130051.37473765726,2.2909614394790068,0,1.0
10182,131350502433010,George Pierce Park Community Recreation Center,2345.4985440334467,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0636796,-84.0820341,EV_2022_2020,polling,78,0,78,77,33,5,2,37,0,0,182948.88643460884,2.3099733371465843,0,1.0
10191,131350502433011,George Pierce Park Community Recreation Center,2188.4769038316863,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0634829,-84.0803413,EV_2022_2020,polling,8,2,6,3,3,0,0,0,0,0,17507.81523065349,2.184061942967759,0,1.0
10200,131350502433012,George Pierce Park Community Recreation Center,2084.474543282012,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0636298,-84.079142,EV_2022_2020,polling,60,2,58,58,31,4,0,23,0,0,125068.4725969207,2.1044671955866896,0,1.0
10209,131350502433017,George Pierce Park Community Recreation Center,1946.0318031987256,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0616913,-84.0780586,EV_2022_2020,polling,75,0,75,75,27,16,0,32,0,0,145952.38523990443,2.0029970396005385,0,1.0
10218,131350502433018,George Pierce Park Community Recreation Center,1965.800859596399,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0634777,-84.0778608,EV_2022_2020,polling,55,0,55,53,33,4,3,13,0,0,108119.04727780195,2.0171814797255503,0,1.0
10227,131350502433019,George Pierce Park Community Recreation Center,2016.952079320532,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0628733,-84.0785939,EV_2022_2020,polling,42,0,42,41,16,10,0,15,0,0,84711.98733146234,2.054350792543637,0,1.0
10236,131350502433020,George Pierce Park Community Recreation Center,2122.6567563066083,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.062437,-84.0798592,EV_2022_2020,polling,30,0,30,28,8,5,1,14,0,0,63679.702689198246,2.1333459795516956,0,1.0
10245,131350502433021,George Pierce Park Community Recreation Center,2261.982900353929,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0616244,-84.0815271,EV_2022_2020,polling,24,1,23,18,15,0,0,3,0,0,54287.589608494294,2.2421264131751704,0,1.0
10254,131350502433022,George Pierce Park Community Recreation Center,2277.6786874593254,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0623137,-84.0815873,EV_2022_2020,polling,60,6,54,52,29,0,0,20,0,3,136660.72124755953,2.2547235859511376,0,1.0
10263,131350502433023,George Pierce Park Community Recreation Center,2271.4323538004605,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0592026,-84.0817971,EV_2022_2020,polling,81,10,71,72,26,7,1,37,1,0,183986.0206578373,2.249701927966595,0,1.0
10272,131350502433024,George Pierce Park Community Recreation Center,2905.577339580017,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0562363,-84.08847,EV_2022_2020,polling,217,9,208,212,140,22,2,46,0,2,630510.2826888637,2.821189380495054,0,1.0
10281,131350502433025,George Pierce Park Community Recreation Center,3042.9115716438264,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0563665,-84.0899874,EV_2022_2020,polling,23,0,23,16,3,8,0,5,0,0,69986.96614780801,2.9629358500823684,0,1.0
10290,131350502433026,George Pierce Park Community Recreation Center,3041.447244210801,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0549903,-84.0897523,EV_2022_2020,polling,41,1,40,39,25,0,0,13,0,1,124699.33701264283,2.9613875338495497,0,1.0
10299,131350502433027,George Pierce Park Community Recreation Center,3135.673332708883,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0536989,-84.0905117,EV_2022_2020,polling,37,2,35,32,24,0,0,7,0,1,116019.91331022867,3.0626860807272878,0,1.0
10308,131350502433028,George Pierce Park Community Recreation Center,3163.5523247396472,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0634855,-84.0910996,EV_2022_2020,polling,95,5,90,91,72,7,0,8,0,4,300537.4708502665,3.0933166457918806,0,1.0
10317,131350502433029,George Pierce Park Community Recreation Center,3341.4349902451777,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.060402,-84.093386,EV_2022_2020,polling,44,1,43,37,28,0,0,9,0,0,147023.1395707878,3.296099699689957,0,1.0
10326,131350502433030,George Pierce Park Community Recreation Center,3239.2040660316998,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0574327,-84.0922338,EV_2022_2020,polling,216,6,210,211,153,20,0,35,0,3,699668.0782628471,3.177987338378265,0,1.0
10335,131350502433031,George Pierce Park Community Recreation Center,3257.8920038783667,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0547151,-84.0920784,EV_2022_2020,polling,53,0,53,51,27,12,0,12,0,0,172668.27620555344,3.1992577355363014,0,1.0
10344,131350502441000,George Pierce Park Community Recreation Center,3642.21062368124,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0535053,-84.0960633,EV_2022_2020,polling,203,6,197,191,143,19,0,27,0,2,739368.7566072918,3.669674773214669,0,1.0
10353,131350502441005,George Pierce Park Community Recreation Center,4324.890250542194,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0451284,-84.1008808,EV_2022_2020,polling,321,4,317,317,201,46,0,70,0,0,1388289.7704240442,4.682295702875889,0,1.0
10362,131350502441006,George Pierce Park Community Recreation Center,4418.723924226994,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0437097,-84.1012828,EV_2022_2020,polling,96,10,86,90,61,8,0,16,2,3,424197.4967257915,4.841782148300395,0,1.0
10371,131350502441007,George Pierce Park Community Recreation Center,3742.743652126507,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0479511,-84.0954087,EV_2022_2020,polling,80,7,73,74,26,6,0,42,0,0,299419.4921701206,3.8037550333059453,0,1.0
10380,131350502441011,George Pierce Park Community Recreation Center,4530.042991415939,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0403043,-84.1006693,EV_2022_2020,polling,103,5,98,98,60,15,0,23,0,0,466594.4281158417,5.0380479431533125,0,1.0
10389,131350502442001,George Pierce Park Community Recreation Center,5192.914563409715,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.038704,-84.1077562,EV_2022_2020,polling,593,56,537,544,263,80,0,175,4,22,3079398.336101961,6.382970637732803,0,1.0
10416,131350502442007,George Pierce Park Community Recreation Center,5223.908393620417,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0374172,-84.1073452,EV_2022_2020,polling,13,1,12,12,12,0,0,0,0,0,67910.80911706542,6.453979967161717,0,1.0
10437,131350503061000,Lucky Shoals Park Community Recreation Center,6280.00184647751,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9280624,-84.2340042,EV_2022_2020,polling,48,34,14,42,8,3,1,5,0,25,301440.0886309205,9.409070538925047,0,1.0
10446,131350503061001,Lucky Shoals Park Community Recreation Center,6157.231523602392,Gwinnett_GA,4651 Britt Road,33.88058,-84.19716,33.9264973,-84.2344481,EV_2022_2020,polling,110,67,43,104,26,8,1,17,0,52,677295.4675962632,9.005637501486083,0,1.0
