,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
53691,131350505371005,Gas South-Hudgens Center for Arts,4262.8758045087625,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9539307,-84.1021744,EV_2022,polling,312,80,232,63,168,0,12,0,39,30,1330017.2510067339,19.358691121250786,0,1.0
53694,131350505372001,Gas South-Hudgens Center for Arts,3191.7637068835443,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9629753,-84.0923416,EV_2022,polling,20,11,9,0,0,3,0,0,1,16,63835.27413767089,9.194516806983463,0,1.0
53697,131350505372004,Gas South-Hudgens Center for Arts,3617.5960670306913,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9591767,-84.091519,EV_2022,polling,668,91,577,39,498,4,34,0,49,44,2416554.1727765016,12.361725291259493,0,1.0
53700,131350505372006,Gas South-Hudgens Center for Arts,3869.38988444388,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9569528,-84.0971049,EV_2022,polling,786,239,547,156,367,1,26,0,157,79,3041340.44917289,14.726195078454849,0,1.0
53703,131350505373000,Gas South-Hudgens Center for Arts,3684.4620254352335,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9596465,-84.0835569,EV_2022,polling,20,6,14,5,3,0,0,0,0,12,73689.24050870466,12.949844954745082,0,1.0
53706,131350505373002,Gas South-Hudgens Center for Arts,4133.929109535376,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9548475,-84.0875607,EV_2022,polling,1094,208,886,247,557,6,75,0,101,108,4522518.445831701,17.699035125223272,0,1.0
53709,131350505373003,Gas South-Hudgens Center for Arts,4239.6086257248135,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.954199,-84.0852867,EV_2022,polling,164,34,130,25,89,0,12,0,13,25,695295.8146188695,19.048119183158402,0,1.0
53712,131350505373004,Gas South-Hudgens Center for Arts,4462.882143752887,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9518642,-84.0875343,EV_2022,polling,373,215,158,104,58,0,24,0,125,62,1664655.0396198267,22.24609867458615,0,1.0
53715,131350505373005,Gas South-Hudgens Center for Arts,4653.548776608599,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9503581,-84.0856939,EV_2022,polling,105,33,72,20,11,6,32,0,21,15,488622.6215439029,25.398745099915665,0,1.0
53718,131350505391000,Gas South-Hudgens Center for Arts,4917.119327161828,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.94747,-84.0916241,EV_2022,polling,291,179,112,33,64,12,19,0,114,49,1430881.7242040918,30.505551309252915,0,1.0
53721,131350505391001,Gas South-Hudgens Center for Arts,4799.782243305689,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9484846,-84.093861,EV_2022,polling,37,10,27,2,7,0,6,0,4,18,177591.9430023105,28.11623636398992,0,1.0
53724,131350505391002,Gas South-Hudgens Center for Arts,5327.5871177085455,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9440905,-84.1009056,EV_2022,polling,572,310,262,120,97,11,72,0,200,72,3047379.831329288,40.57801539498866,0,1.0
53727,131350505391003,Gas South-Hudgens Center for Arts,5099.465003222525,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9457916,-84.0944426,EV_2022,polling,24,14,10,0,9,2,0,0,10,3,122387.16007734061,34.627835831796745,0,1.0
53730,131350505391004,Gas South-Hudgens Center for Arts,4938.112860125941,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.947276,-84.0960493,EV_2022,polling,181,62,119,40,46,3,41,0,39,12,893798.4276827952,30.953973123403276,0,1.0
53733,131350505391005,Gas South-Hudgens Center for Arts,5096.8721511609865,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9459459,-84.098119,EV_2022,polling,79,34,45,15,14,1,17,1,20,11,402652.8999417179,34.56548223805542,0,1.0
53736,131350505391006,Gas South-Hudgens Center for Arts,5243.89962504849,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9445274,-84.0961577,EV_2022,polling,100,55,45,21,11,0,10,0,45,13,524389.962504849,38.2848756722612,0,1.0
53739,131350505391007,Gas South-Hudgens Center for Arts,5767.888746807628,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9406779,-84.1055082,EV_2022,polling,59,11,48,13,30,0,3,0,12,1,340305.43606165005,55.10727796373072,0,1.0
53742,131350505391009,Gas South-Hudgens Center for Arts,5755.904177360737,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9400601,-84.0990249,EV_2022,polling,74,31,43,25,19,2,2,0,10,16,425936.90912469453,54.6501125057812,0,1.0
53745,131350505391010,Gas South-Hudgens Center for Arts,4968.464300155549,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9469701,-84.0944812,EV_2022,polling,64,25,39,14,19,4,7,1,14,5,317981.7152099551,31.613959098043228,0,1.0
53748,131350505392000,Gas South-Hudgens Center for Arts,5383.552155588448,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9433388,-84.0900824,EV_2022,polling,379,248,131,61,47,9,36,0,144,82,2040366.2669680219,42.1876676128252,0,1.0
53751,131350505392001,Gas South-Hudgens Center for Arts,5648.856885356087,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9409461,-84.0901184,EV_2022,polling,100,75,25,13,15,0,4,0,52,16,564885.6885356087,50.73125987883876,0,1.0
53754,131350505392002,Gas South-Hudgens Center for Arts,5613.286551848218,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9412116,-84.0913974,EV_2022,polling,114,63,51,33,10,5,7,0,45,14,639914.6669106968,49.49230533687197,0,1.0
53757,131350505392003,Gas South-Hudgens Center for Arts,5397.565362804703,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9431231,-84.0924793,EV_2022,polling,138,76,62,33,21,7,11,0,47,19,744864.020067049,42.60061016296621,0,1.0
53760,131350505392004,Gas South-Hudgens Center for Arts,5451.486253845523,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9426406,-84.0954632,EV_2022,polling,200,111,89,54,28,4,19,0,50,45,1090297.2507691046,44.22760741822659,0,1.0
53763,131350505392005,Gas South-Hudgens Center for Arts,5605.148178441461,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9412421,-84.0941329,EV_2022,polling,85,47,38,2,12,0,20,0,38,13,476437.5951675242,49.21311706095274,0,1.0
53766,131350505392006,Gas South-Hudgens Center for Arts,5812.794389190304,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9393876,-84.0924913,EV_2022,polling,30,18,12,7,4,3,0,0,13,3,174383.83167570914,56.85452882488441,0,1.0
53769,131350505393000,Gas South-Hudgens Center for Arts,4805.9550370314455,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9491942,-84.0841472,EV_2022,polling,19,9,10,0,9,3,0,0,0,7,91313.14570359746,28.237134807885838,0,1.0
53772,131350505393001,Gas South-Hudgens Center for Arts,5256.489512618266,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.944937,-84.0851649,EV_2022,polling,1423,555,868,200,530,8,159,0,307,219,7479984.576455793,38.62138763050071,0,1.0
53775,131350505393002,Gas South-Hudgens Center for Arts,5487.6601244626,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.942636,-84.0869612,EV_2022,polling,60,25,35,1,7,3,14,0,21,14,329259.607467756,45.35379220072104,0,1.0
53778,131350505393003,Gas South-Hudgens Center for Arts,5798.174520366077,Gwinnett_GA,6400 Sugarloaf Parkway Building 300,33.99165,-84.09391,33.9400265,-84.0850474,EV_2022,polling,78,34,44,19,21,0,16,0,13,9,452257.612588554,56.27968033472314,0,1.0
