,id_dest,H7X001
496,poll_2016_1,10
497,poll_2016_1,42
498,poll_2016_1,24
499,poll_2016_3,19
500,poll_2016_3,9
501,poll_2016_3,13
502,poll_2016_3,27
503,poll_2016_3,35
504,poll_2016_3,35
505,poll_2016_3,35
506,410470016022,14
507,410470016042,131
508,410470016022,25
509,410470016042,33
510,410470016022,47
511,410470016022,43
512,410470016022,117
513,410470016022,30
514,poll_2016_1,25
515,410470016022,17
516,poll_2016_1,44
517,poll_2016_1,72
518,410470016042,34
519,410470016022,251
520,410470016022,3
521,410470016022,424
522,410470016022,53
523,410470016022,217
524,410470016022,3
525,410470016022,55
526,410470016022,59
527,410470016022,42
528,410470016022,25
529,410470016022,36
530,410470016022,90
531,410470016022,59
532,poll_2016_6,15
533,410470016022,146
534,410470016022,71
535,410470016022,7
536,poll_2016_6,12
537,410470016022,35
538,410470016022,13
539,410470016022,19
540,410470016022,59
541,410470016022,53
542,410470016022,58
543,poll_2016_6,71
544,poll_2016_6,61
545,410470016022,252
546,410470016022,152
547,410470016022,11
548,410470016022,17
549,410470016022,55
550,410470016022,297
551,410470016022,129
552,410470016022,60
553,poll_2016_6,50
554,410470016022,40
555,410470016022,435
556,poll_2016_6,38
557,poll_2016_6,178
558,poll_2016_6,39
559,poll_2016_6,67
560,poll_2016_6,173
561,poll_2016_6,5
562,poll_2016_6,8
563,poll_2016_6,120
564,poll_2016_6,7
565,poll_2016_6,9
566,poll_2016_6,77
567,poll_2016_6,60
568,poll_2016_6,180
569,poll_2016_6,322
570,poll_2016_6,96
571,410470016042,10
572,410470016042,57
573,poll_2016_6,14
574,410470016042,144
575,poll_2016_6,423
576,poll_2016_6,26
577,410470016042,41
578,410470016042,460
579,410470016042,515
580,410470016042,17
581,410470016042,93
582,410470016042,351
583,410470016042,135
584,410470016042,14
585,410470016042,23
586,410470016042,54
587,410470016042,589
588,410470016042,61
589,410470016042,13
590,410470016042,57
591,410470016042,34
592,410470016042,10
593,410470016042,56
594,poll_2016_6,150
595,poll_2016_6,22
596,poll_2016_6,18
597,poll_2016_6,2
598,410470016042,11
599,410470016042,350
600,410470016042,295
601,poll_2016_6,29
602,poll_2016_6,1
603,410470016042,103
604,410470016042,46
605,poll_2016_6,55
606,410470016042,69
607,410470016042,146
608,410470016042,55
609,poll_2016_6,47
610,poll_2016_6,79
611,410470016042,5
612,poll_2016_6,250
613,poll_2016_6,210
614,poll_2016_6,23
615,poll_2016_1,70
616,poll_2016_1,47
617,poll_2016_1,66
618,poll_2016_6,27
619,poll_2016_1,356
620,poll_2016_1,62
621,poll_2016_1,65
622,poll_2016_6,883
623,poll_2016_1,5
624,school_523,19
625,school_523,33
626,school_523,29
627,school_523,96
628,school_523,45
629,school_523,439
630,school_523,146
631,school_523,92
632,school_523,90
633,school_523,209
634,school_523,20
635,school_523,13
636,school_523,63
637,school_523,93
638,poll_2016_3,7
639,school_523,13
640,school_523,111
641,school_523,125
642,school_523,30
643,410470021022,251
644,410470021022,33
645,410470021022,20
646,poll_2016_4,24
647,410470021022,39
648,410470021022,14
649,poll_2016_3,12
650,poll_2016_3,22
651,poll_2016_3,13
652,poll_2016_3,36
653,poll_2016_3,43
654,poll_2016_3,32
655,poll_2016_3,19
656,poll_2016_4,13
657,poll_2016_4,188
658,poll_2016_4,14
659,poll_2016_4,35
660,poll_2016_4,60
661,poll_2016_3,358
662,poll_2016_4,40
663,poll_2016_4,58
664,poll_2016_4,59
665,poll_2016_4,20
666,poll_2016_4,13
667,poll_2016_4,129
668,410470021022,88
669,410470021022,81
670,410470021022,107
671,school_523,68
672,school_523,95
673,school_523,21
674,school_523,229
675,school_523,193
676,poll_2016_3,7
677,poll_2016_3,11
678,poll_2016_4,17
679,poll_2016_4,16
680,poll_2016_3,74
681,poll_2016_6,149
682,poll_2016_6,3
683,410470016042,39
684,410470016022,158
685,410470016042,4
686,410470016022,22
687,410470016022,133
688,poll_2016_6,46
689,poll_2016_6,3
690,410470016022,13
691,poll_2016_6,43
692,poll_2016_6,79
693,410470016042,69
694,poll_2016_6,10
695,410470016042,10
696,poll_2016_6,41
697,poll_2016_6,14
698,poll_2016_6,2
699,school_523,11
700,poll_2016_6,30
701,poll_2016_6,53
702,school_523,27
703,school_523,15
704,school_523,27
705,school_523,9
706,school_523,91
707,school_523,11
708,school_523,15
709,school_523,17
710,school_523,2
711,poll_2016_6,275
712,poll_2016_6,18
713,poll_2016_6,33
714,poll_2016_6,134
715,poll_2016_4,29
716,poll_2016_4,2
717,poll_2016_4,146
718,poll_2016_4,12
719,school_523,134
720,school_523,126
721,poll_2016_4,179
722,410470021022,69
723,school_523,4
724,410470021022,25
725,poll_2016_1,90
726,poll_2016_1,14
727,poll_2016_1,32
728,poll_2016_3,21
729,poll_2016_3,71
730,poll_2016_3,28
