,index,id_orig,id_dest,distance_m,H7X001,H7X002,H7X003,H7X004,H7X005,H7Z010,pop_distance
151,151,410470015011007,410470016022,7034.1,64,58,0,1,5,0,450182.4
152,152,410470015011009,410470016022,6786.5,65,65,0,0,0,9,441122.5
153,153,410470015012000,410470016042,9113.3,139,129,0,0,3,5,1266748.7
154,154,410470015013000,410470016022,6617.0,120,109,0,0,0,6,794040.0
155,155,410470015021012,410470016022,6357.7,125,55,2,0,2,84,794712.5
156,156,410470015021019,410470016022,4724.7,87,63,1,0,1,62,411048.89999999997
157,157,410470015021021,410470016022,4715.2,39,37,0,0,0,1,183892.8
158,158,410470015022007,410470016022,5955.2,41,33,0,0,2,8,244163.19999999998
159,159,410470015023004,410470016022,6203.4,78,77,0,0,1,6,483865.19999999995
160,160,410470015023010,410470016022,6240.8,48,47,0,0,1,0,299558.4
161,161,410470015023012,410470016022,5781.8,172,153,0,0,0,37,994469.6
162,162,410470015032011,410470016022,6325.6,111,94,2,1,1,13,702141.6000000001
163,163,410470015033012,410470016022,5516.0,30,26,1,0,0,8,165480.0
164,164,410470016011001,410470016022,2695.4,16,14,0,0,0,7,43126.4
165,165,410470016011025,410470016022,2259.7,75,36,0,0,0,57,169477.5
166,166,410470016012004,410470016022,4231.6,211,149,3,1,21,48,892867.6000000001
167,167,410470016012008,410470016022,2833.0,6,0,0,0,6,0,16998.0
168,168,410470016012018,410470016022,3090.7,2,2,0,0,0,0,6181.4
169,169,410470016012032,poll_2016_6,4037.9,13,13,0,0,0,0,52492.700000000004
170,170,410470016012045,poll_2016_6,3671.9,5,5,0,0,0,0,18359.5
171,171,410470016012049,410470016022,3624.1,46,42,0,0,4,0,166708.6
172,172,410470016013014,410470016022,2400.7,66,66,0,0,0,9,158446.19999999998
173,173,410470016014002,410470016022,3716.2,122,111,0,3,1,9,453376.39999999997
174,174,410470016022006,410470016022,626.6,41,26,4,0,5,12,25690.600000000002
175,175,410470016022008,410470016022,1469.2,245,154,4,6,11,161,359954.0
176,176,410470016023005,poll_2016_6,1793.2,240,138,0,5,5,125,430368.0
177,177,410470016024008,poll_2016_6,2564.9,63,54,0,2,1,16,161588.7
178,178,410470016025004,410470016022,1981.0,64,33,1,0,0,40,126784.0
179,179,410470016031013,poll_2016_6,3728.7,132,83,2,0,23,35,492188.39999999997
180,180,410470016031014,poll_2016_6,3762.2,8,2,0,0,1,0,30097.6
181,181,410470016031020,poll_2016_6,2416.9,5,5,0,0,0,0,12084.5
182,182,410470016031025,poll_2016_6,3019.9,28,22,0,0,0,8,84557.2
183,183,410470016031034,poll_2016_6,2779.7,27,10,0,0,0,17,75051.9
184,184,410470016032005,poll_2016_6,1698.2,62,47,0,0,12,6,105288.40000000001
185,185,410470016032007,poll_2016_6,1699.2,23,21,1,0,0,0,39081.6
186,186,410470016034003,poll_2016_6,1465.4,80,36,0,1,6,49,117232.0
187,187,410470016041028,410470016042,898.5,248,165,1,8,3,91,222828.0
188,188,410470016041030,410470016042,662.2,169,76,1,3,5,92,111911.8
189,189,410470016042003,410470016022,1528.3,7,7,0,0,0,0,10698.1
190,190,410470016043010,poll_2016_6,2393.4,27,15,4,1,6,0,64621.8
191,191,410470016043011,poll_2016_6,2146.8,372,292,4,4,12,72,798609.6000000001
192,192,410470016044009,poll_2016_6,2780.1,194,132,1,3,4,70,539339.4
193,193,410470016044014,410470016022,1984.6,68,55,1,3,3,18,134952.8
194,194,410470016044015,poll_2016_6,2556.6,21,19,1,1,0,1,53688.6
195,195,410470017011002,410470016042,1610.0,202,116,3,0,0,106,325220.0
196,196,410470017011007,410470016042,1470.8,178,58,6,4,0,158,261802.4
197,197,410470017012015,410470016042,2103.9,31,14,0,10,1,20,65220.9
198,198,410470017012024,410470016042,3350.4,121,100,1,0,0,55,405398.4
199,199,410470017013005,410470016042,3331.5,9,8,1,0,0,0,29983.5
200,200,410470017022009,410470016042,3843.6,679,513,9,11,48,163,2609804.4
201,201,410470017022016,poll_2016_6,3742.8,100,58,0,7,1,36,374280.0
202,202,410470017023007,410470016042,3043.3,7,6,0,0,0,0,21303.100000000002
203,203,410470017023010,410470016042,2657.7,136,88,2,8,1,97,361447.19999999995
204,204,410470017023014,410470016042,3003.6,4,2,1,0,0,0,12014.4
205,205,410470017023015,410470016042,3040.5,70,29,2,3,2,43,212835.0
206,206,410470017031004,poll_2016_6,2653.0,19,19,0,0,0,0,50407.0
207,207,410470017032004,410470016042,4156.9,99,71,1,1,6,20,411533.1
208,208,410470017032018,410470016042,4261.9,51,38,0,4,0,26,217356.9
