,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
298,131350501052003,Bogan Park Community Recreation Center,2673.2559990290297,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1273885,-83.9551064,EV_2022_2020,polling,17,5,12,8,2,3,2,0,1,1,45445.35198349351,2.596671523796846,0,1.0
307,131350501052004,Bogan Park Community Recreation Center,2724.477309736687,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1286697,-83.9571795,EV_2022_2020,polling,70,9,61,29,12,0,18,0,3,8,190713.41168156808,2.644584893772814,0,1.0
316,131350501052005,Bogan Park Community Recreation Center,2512.5686325454635,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1275539,-83.9602805,EV_2022_2020,polling,189,27,162,56,53,0,56,0,11,13,474875.47155109263,2.4519224301108546,0,1.0
325,131350501052011,Bogan Park Community Recreation Center,2121.362029946581,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1234917,-83.9772024,EV_2022_2020,polling,294,171,123,120,35,2,2,1,89,45,623680.4368042948,2.1323602639092614,0,1.0
334,131350501052012,Bogan Park Community Recreation Center,1858.1875977352145,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1215465,-83.9753848,EV_2022_2020,polling,150,109,41,54,11,6,0,0,56,23,278728.1396602822,1.9411647988330276,0,1.0
343,131350501052013,Bogan Park Community Recreation Center,2030.0849316944505,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1229257,-83.976254,EV_2022_2020,polling,83,30,53,40,17,2,1,0,13,10,168497.0493306394,2.0640038464249986,0,1.0
352,131350501052014,Bogan Park Community Recreation Center,1983.2035435912144,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1221581,-83.9771371,EV_2022_2020,polling,57,36,21,6,14,2,1,0,24,10,113042.60198469921,2.029751139787512,0,1.0
361,131350501052016,Bogan Park Community Recreation Center,2895.723604578372,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1307844,-83.9775903,EV_2022_2020,polling,6,2,4,0,0,0,0,0,1,5,17374.341627470232,2.8112837464201954,0,1.0
370,131350501052019,Bogan Park Community Recreation Center,1609.2273520758852,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1150601,-83.9817619,EV_2022_2020,polling,7,6,1,0,0,1,1,0,0,5,11264.591464531197,1.776101429530198,0,1.0
379,131350501052022,Bogan Park Community Recreation Center,1743.1918199259492,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1202261,-83.9759702,EV_2022_2020,polling,38,17,21,16,12,4,0,0,6,0,66241.28915718607,1.8630966294353886,0,1.0
